	ndop
1925	1885.0
1926	1885.0
1927	1894.0
1928	1894.0
1929	1897.0
1930	1862.0
1931	1891.0
1932	1842.0
1933	1847.0
1934	1889.0
1935	1890.0
1936	1836.0
1937	1833.0
1938	1859.0
1939	1892.0
1940	1873.0
1941	
1942	1845.0
1943	1872.0
1944	1892.0
1945	1848.0
1946	1835.0
1947	1846.0
1948	1820.0
1949	1821.0
1950	1766.0
1951	1872.0
1952	1887.0
1953	1874.0
1954	1860.0
1955	1839.0
1956	1890.0
1957	1872.0
1958	1873.0
1959	1841.0
1960	
1961	1890.0
1962	1883.0
1963	1880.0
1964	1869.0
1965	1860.0
1966	1805.0
1967	1874.0
1968	1876.0
1969	1881.0
1970	1874.0
1971	1851.0
1972	1859.0
1973	1863.0
1974	1895.0
1975	1897.0
1976	1897.0
1977	1897.0
1978	1876.0
1979	1876.0
1980	1899.0
1981	1899.0
1982	1873.0
1983	1832.0
1984	1876.0
